_id,apk_name,package_name,ml_permission,ml_origin,ml_plugin,ml_virus,malicious,undetected,malware
{'$oid': '6080b68132fda25f88a14613'},Bau Magazine_1.3.2.apk,at.wohnnet.kiosk.android,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14614'},BorusanPortMobile_1.1.apk,app.id_df3851c64dc64001a2ddc130894c2519,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14615'},Camping Corones_0.1.apk,at.generalsolutions.contwise.maps.camping_corones,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14616'},Camping Mals_0.0.24.apk,at.generalsolutions.contwise.maps.camping_mals,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14617'},Contwise LISA_3.3.apk,at.generalsolutions.contwise.maps.bergrettung,"['android.permission.CAMERA', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_LOCATION_EXTRA_COMMANDS', 'android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.BROADCAST_STICKY', 'android.permission.READ_LOGS', 'android.permission.GET_ACCOUNTS', 'android.permission.WAKE_LOCK', 'android.permission.GET_ACCOUNTS']",[],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14618'},Animal Puzzles_1.8.apk,au.com.espace.puzzle.animal,"['android.permission.VIBRATE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'com.android.vending.BILLING']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a14619'},Erlebnishotel Waltershof_0.0.41(1).apk,at.generalsolutions.contwise.maps.villa_waldkoenigin,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1461a'},Erlebnishotel Waltershof_0.0.41.apk,at.generalsolutions.contwise.maps.baumwirt,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1461b'},Dinosaur Puzzles_1.8.apk,au.com.espace.puzzle.dinosaur,"['android.permission.VIBRATE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'com.android.vending.BILLING']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1461c'},HeuteTV_2.0.0.apk,at.heute.android.tv,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE']",[],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1461d'},HFAB_4.0.143.apk,apps.halmstad,"['android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.WAKE_LOCK', 'android.permission.VIBRATE', 'com.google.android.c2dm.permission.RECEIVE', 'apps.halmstad.permission.C2D_MESSAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'com.sec.android.provider.badge.permission.READ', 'com.sec.android.provider.badge.permission.WRITE', 'com.htc.launcher.permission.READ_SETTINGS', 'com.htc.launcher.permission.UPDATE_SHORTCUT', 'com.sonyericsson.home.permission.BROADCAST_BADGE', 'com.anddoes.launcher.permission.UPDATE_COUNT', 'com.majeur.launcher.permission.UPDATE_BADGE']",['origin~~*'],[],[],0,63,0
{'$oid': '6080b68132fda25f88a1461e'},Hotel Diamant_0.0.24.apk,at.generalsolutions.contwise.maps.sunnwies_diamant,"['android.permission.INTERNET', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_COARSE_LOCATION', 'android.permission.ACCESS_FINE_LOCATION', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.VIBRATE', 'android.permission.CAMERA', 'android.permission.FLASHLIGHT']",['origin~~*'],[],[],0,0,0
{'$oid': '6080b68132fda25f88a1461f'},Heute_3.6.4.apk,at.heute.android,"['android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.ACCESS_WIFI_STATE', 'android.permission.WAKE_LOCK', 'com.google.android.c2dm.permission.RECEIVE']",[],[],[],0,0,0
