"_id",permission,level,details
6088cb9a4aeabc4a486c089e,android.permission.ACCEPT_HANDOVER,dangerous,Allows a calling app to continue a call which was started in another app
6088cb9a4aeabc4a486c089f,android.permission.ACCESS_BACKGROUND_LOCATION,dangerous,Allows an app to access location in the background
6088cb9a4aeabc4a486c08a0,android.permission.ACCESS_COARSE_LOCATION,dangerous,Allows an app to access approximate location
6088cb9a4aeabc4a486c08a1,android.permission.ACCESS_FINE_LOCATION,dangerous,Allows an app to access precise location
6088cb9a4aeabc4a486c08a2,android.permission.ACCESS_MEDIA_LOCATION,dangerous,Allows an application to access any geographic locations persisted in the user's shared collection
6088cb9a4aeabc4a486c08a3,android.permission.ACTIVITY_RECOGNITION,dangerous,Allows an application to recognize physical activity
6088cb9a4aeabc4a486c08a4,com.android.voicemail.permission.ADD_VOICEMAIL,dangerous,Allows an application to add voicemails into the system
6088cb9a4aeabc4a486c08a5,android.permission.ANSWER_PHONE_CALLS,dangerous,Allows the app to answer an incoming phone call
6088cb9a4aeabc4a486c08a6,android.permission.BLUETOOTH_CONNECT,dangerous,Required to be able to connect to paired Bluetooth devices
6088cb9a4aeabc4a486c08a7,android.permission.BLUETOOTH_SCAN,dangerous,Required to be able to discover and pair nearby Bluetooth devices
6088cb9a4aeabc4a486c08a8,android.permission.BODY_SENSORS,dangerous,"Allows an application to access data from sensors that the user uses to measure what is happening inside their body, such as heart rate"
6088cb9a4aeabc4a486c08a9,android.permission.CALL_PHONE,dangerous,Allows an application to initiate a phone call without going through the Dialer user interface for the user to confirm the call
6088cb9a4aeabc4a486c08aa,android.permission.CAMERA,dangerous,Required to be able to access the camera device
6088cb9a4aeabc4a486c08ab,android.permission.GET_ACCOUNTS,dangerous,Allows access to the list of accounts in the Accounts Service
6088cb9a4aeabc4a486c08ac,android.permission.PROCESS_OUTGOING_CALLS,dangerous,"      This constant was deprecated      in API level 29"
6088cb9a4aeabc4a486c08ad,android.permission.READ_CALENDAR,dangerous,Allows an application to read the user's calendar data
6088cb9a4aeabc4a486c08ae,android.permission.READ_CALL_LOG,dangerous,Allows an application to read the user's call log
6088cb9a4aeabc4a486c08af,android.permission.READ_CONTACTS,dangerous,Allows an application to read the user's contacts data
6088cb9a4aeabc4a486c08b0,android.permission.READ_EXTERNAL_STORAGE,dangerous,Allows an application to read from external storage
6088cb9a4aeabc4a486c08b1,android.permission.READ_PHONE_NUMBERS,dangerous,Allows read access to the device's phone number(s)
6088cb9a4aeabc4a486c08b2,android.permission.READ_PHONE_STATE,dangerous,"Allows read only access to phone state, including the current cellular network information, the status of any ongoing calls, and a list of any PhoneAccounts registered on the device"
6088cb9a4aeabc4a486c08b3,android.permission.READ_SMS,dangerous,Allows an application to read SMS messages
6088cb9a4aeabc4a486c08b4,android.permission.RECEIVE_MMS,dangerous,Allows an application to monitor incoming MMS messages
6088cb9a4aeabc4a486c08b5,android.permission.RECEIVE_SMS,dangerous,Allows an application to receive SMS messages
6088cb9a4aeabc4a486c08b6,android.permission.RECEIVE_WAP_PUSH,dangerous,Allows an application to receive WAP push messages
6088cb9a4aeabc4a486c08b7,android.permission.RECORD_AUDIO,dangerous,Allows an application to record audio
6088cb9a4aeabc4a486c08b8,android.permission.SEND_SMS,dangerous,Allows an application to send SMS messages
6088cb9a4aeabc4a486c08b9,android.permission.USE_SIP,dangerous,Allows an application to use SIP service
6088cb9a4aeabc4a486c08ba,android.permission.WRITE_CALENDAR,dangerous,Allows an application to write the user's calendar data
6088cb9a4aeabc4a486c08bb,android.permission.WRITE_CALL_LOG,dangerous,Allows an application to write (but not read) the user's call log data
6088cb9a4aeabc4a486c08bc,android.permission.WRITE_CONTACTS,dangerous,Allows an application to write the user's contacts data
6088cb9a4aeabc4a486c08bd,android.permission.WRITE_EXTERNAL_STORAGE,dangerous,Allows an application to write to external storage
6088cb9a4aeabc4a486c08be,android.permission.READ_PRECISE_PHONE_STATE,dangerous,Allows read only access to precise phone state
6088cb9a4aeabc4a486c08bf,android.permission.START_FOREGROUND_SERVICES_FROM_BACKGROUND,dangerous,"Allows an application to start foreground services from background, can only be granted to privileged apps or app that is SMS/EMERGENCY/SYSTEM GALLERY roles"
6088cb9a4aeabc4a486c08c0,android.permission.BIND_CARRIER_MESSAGING_SERVICE,deprecated,
6088cb9a4aeabc4a486c08c1,android.permission.GET_TASKS,deprecated,
6088cb9a4aeabc4a486c08c2,android.permission.PERSISTENT_ACTIVITY,deprecated,
