apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
1,5,0,0,2,1,7,0,0,0,2,0,0,0,0,0
10,5,0,0,1,0,7,1,0,0,2,0,1,0,0,0
100,5,0,0,29,15,7,1,0,0,3,0,1,0,0,0
101,5,6,1,6,2,5,2,0,0,2,3,0,0,0,0
102,5,1,1,58,2,8,1,1,0,2,1,2,1,2,0
103,5,0,0,13,1,7,2,0,0,2,0,0,1,0,0
104,5,15,1,4,12,1,10,1,0,2,1,2,1,0,0
105,4,6,0,18,2,6,0,0,0,0,0,1,1,0,0
106,4,1,1,34,8,13,1,1,0,2,1,2,1,0,0
107,5,6,4,1,2,5,8,0,0,1,2,0,0,0,0
108,5,1,1,12,2,8,1,1,0,2,1,2,1,0,0
109,5,5,1,1,1,7,4,0,0,2,0,0,0,2,0
11,5,1,0,1,1,1,0,0,0,2,0,0,0,0,0
110,5,0,0,3,0,7,0,0,0,1,0,1,0,0,0
111,5,1,1,47,2,7,1,0,0,2,0,0,0,0,0
113,5,0,0,8,0,7,0,0,0,2,0,1,0,0,0
114,5,0,0,52,0,7,4,0,0,3,0,0,0,2,0
115,5,0,0,2,0,7,0,0,0,2,0,0,0,0,0
12,5,0,0,1,1,7,0,0,0,2,0,0,0,0,0
13,4,0,5,15,2,4,0,0,0,0,0,3,4,0,0
14,5,6,4,10,2,7,4,0,0,3,2,1,2,0,0
15,5,2,0,1,0,7,0,0,0,2,0,1,0,0,0
16,5,0,0,1,3,7,0,0,0,2,0,0,0,0,0
17,5,0,0,59,0,7,0,0,0,2,0,0,0,0,0
18,5,0,0,1,2,7,0,0,0,2,0,0,0,2,0
19,5,0,0,2,1,7,3,0,0,2,0,0,0,0,0
2,5,1,1,8,2,7,7,0,0,2,0,1,1,0,0
20,4,0,0,2,1,4,3,0,0,0,0,1,0,0,0
21,5,0,0,1,1,7,0,0,0,2,0,0,0,0,0
23,0,1,4,8,2,1,1,0,0,1,2,0,0,0,0
24,5,0,0,57,0,7,0,0,0,2,0,1,1,0,0
27,5,1,1,1,0,7,3,0,0,2,0,1,0,0,0
