apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
com.pr.ojectblue.dothis,13,33,41,7,2,5,8,0,0,1,2,5,0,0,0
com.indiageeks.apk,13,9,75,1,13,1,1,1,0,94,1,5,1,0,0
com.koimoi.android,13,8,75,4,2,8,1,1,0,94,1,11,1,0,0
com.activitylabs.bankbluffer,13,6,78,8,1,7,4,0,0,98,0,1,0,0,0
com.cooperbussmann.faultcurrentcalculator,13,9,75,3,2,8,1,1,0,94,1,11,1,0,0
biz.raitco.fastdeals,10,9,75,1,2,8,1,1,0,3,1,2,1,0,0
com.drawroulette,13,6,74,2,1,7,1,0,0,87,0,4,0,0,0
com.axeuk.android.bump,13,33,41,52,2,5,8,0,0,1,2,5,0,0,0
com.peoplecall.nubefone,13,9,54,14,9,8,1,1,0,94,1,3,2,0,0
com.untappdllc.app,13,9,75,2,2,8,1,1,0,94,1,11,1,2,0
com.mkhuda.sangpenemu,13,6,74,16,1,4,0,0,0,1,0,4,0,0,0
com.tonnguyen.mega,12,5,47,1,0,7,0,0,0,88,0,5,0,0,0
com.onlinebrokerrev.android,13,33,41,1,2,5,8,0,0,64,2,5,0,0,0
com.fsch.truthordare,13,2,75,8,2,8,1,1,0,1,1,3,1,0,0
nl.addnoise.wykelshallum,13,6,74,1,0,8,0,0,0,98,0,10,1,0,0
simple.periodictable,13,6,74,1,0,7,0,0,0,95,0,6,0,0,0
com.marcucio.getitdone,12,0,20,104,2,4,0,0,0,34,0,36,0,0,0
be.tweedehands.m,13,6,74,57,0,7,0,1,0,98,0,10,0,0,0
at.sosme.app,0,25,36,1,2,5,8,0,0,56,2,5,0,0,0
com.tossapp3,13,9,68,8,3,8,1,1,0,2,1,5,1,0,0
com.solidapps.geoquiz,13,5,78,45,5,7,4,0,0,90,0,4,0,0,0
uk.co.creo.cookingforstudents,0,25,41,1,2,5,2,0,0,2,2,1,0,0,0
com.kiwixi.com,13,8,75,58,2,8,1,1,0,94,1,11,1,0,0
de.tursics.nameyourbabe,13,9,75,7,2,8,1,1,0,94,1,11,1,0,0
uc.co.liveglutenfree,13,5,74,2,0,7,3,0,0,5,0,4,0,0,0
com.jmstechsys.culturalcorridor,13,11,68,5,1,8,1,1,0,94,1,4,2,0,0
net.clasificadosnet.android,13,6,74,1,1,7,0,0,0,87,0,4,0,0,0
com.giuseppesoft.giupcartelera,13,6,74,1,0,7,0,0,0,87,0,4,0,0,0
com.ppbg.Pcb,13,8,75,2,2,8,1,1,0,94,1,11,1,0,0
com.realitybridges.zombietag.challenge,13,7,66,1,2,8,1,0,0,1,0,2,0,0,0
DeliciousXiamen,13,12,74,96,0,7,2,0,0,14,0,1,0,0,0
com.tarun.hanumanchalisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.fracturedvisionmedia.absinthe,13,7,74,1,0,8,0,0,0,3,0,10,0,0,0
com.flyacts.typo3campberlin,13,6,74,57,2,8,0,0,0,98,0,10,2,0,0
de.trinimon.calculator,0,17,37,1,2,5,8,0,0,52,2,0,0,0,0
com.twidaq.pglite,13,6,74,4,1,7,0,0,0,87,0,4,0,0,0
com.urucas.tmusica,13,8,75,2,2,8,1,1,0,7,1,11,1,2,0
ru.wyeg.instatag,13,8,75,20,2,8,1,1,0,94,1,3,1,0,0
com.priceitgame,13,7,74,8,2,7,4,0,0,98,0,5,1,0,0
nl.x_services.buildmeister,13,9,75,1,1,8,1,1,0,94,1,11,1,0,0
com.schuitemaker.k1ckstart3r,13,9,75,14,1,8,1,1,0,94,1,3,1,0,0
fm.superplayer.jukebot,13,9,75,63,2,8,1,1,0,94,1,11,1,2,0
com.elvito.radio.waves,13,6,74,59,0,7,0,0,0,87,0,4,0,0,0
com.jmstech.mychildswords,13,9,68,8,2,8,1,1,0,2,1,10,1,0,0
com.oppositecoast.www.mwm,13,9,75,6,4,8,1,1,0,94,1,10,1,0,0
my.boletus.demo,13,9,68,8,4,8,4,1,0,5,1,7,1,0,0
com.ohmztech.classaction,13,8,75,8,2,8,1,1,0,94,1,6,1,0,0
com.SlateStudio.HelloHarto,12,2,23,1,6,2,1,1,0,10,1,2,1,0,0
com.phoneprojects.angrychicks,13,9,75,58,2,8,1,1,0,94,1,11,1,0,0
com.dasque,13,9,75,8,2,8,1,1,0,3,1,11,1,0,0
com.testsstore.app,12,19,19,1,4,5,8,0,0,59,2,16,0,0,0
com.takeweather,13,14,74,14,3,4,1,0,0,2,0,2,0,0,0
dan.seekr,13,9,68,8,1,8,1,1,0,94,1,3,1,0,0
air.com.KickstandTech.MotorcycleWeather,13,9,75,2,2,8,2,1,0,94,1,11,1,0,0
com.openargs,13,33,41,50,2,5,8,0,0,64,2,5,0,5,0
com.phonegap.intown,13,33,41,52,2,5,8,0,0,63,2,5,0,0,0
com.mkhuda.ilmuaislam,13,6,74,16,1,7,1,0,0,1,0,4,0,0,0
com.onlinerepublic.AirportCarRental,12,8,48,1,2,7,1,1,0,84,1,6,1,0,0
org.techdoc,13,33,41,1,2,5,3,0,0,5,2,5,0,0,0
de.jameda.android.arztsuche,13,9,80,58,2,8,2,1,0,97,1,6,1,0,0
de.rsp24.schloebe,13,6,74,55,0,7,0,0,0,87,0,4,0,0,0
com.nutreek.bbroy,13,7,74,57,0,8,0,0,0,96,0,10,0,0,0
no.android.learnerspracticetest,13,33,41,1,2,5,8,0,0,2,2,5,0,0,0
artiic.euroTweets2012,13,6,74,13,0,7,0,0,0,2,0,4,0,0,0
com.sofar.mesgouts,13,6,74,59,0,7,0,0,0,87,0,4,0,0,0
russh.toddler.carsabcnumbers,13,9,75,3,2,8,1,1,0,4,1,11,1,0,0
com.iChemLabs.ChemDoodleMobile,13,8,75,2,19,8,1,1,0,3,1,10,1,0,0
de.kashban.android.kakerlake,13,6,74,58,1,7,0,0,0,95,0,6,0,0,0
com.greenbuildingapp.gba,13,9,75,23,2,8,5,1,0,8,1,11,1,0,0
net.klier.blutdruck,13,9,75,4,1,7,1,1,0,94,1,11,1,0,0
com.critalsoft.eazywallet,13,9,75,2,2,1,1,1,0,2,1,11,1,0,0
org.dinamisglobe.mobileapp,13,10,74,1,3,1,1,0,0,87,0,4,0,0,0
com.phonegap.mobmarket,13,28,36,7,2,5,1,0,0,63,2,5,0,0,0
com.phonegap.clearpoint,13,8,75,1,1,8,1,1,0,94,1,10,1,0,0
com.mobileteck.lovevoucher,3,9,75,8,2,8,2,1,0,3,1,4,1,0,0
com.infocus.vionnow,13,6,74,1,0,1,0,0,0,1,0,4,0,0,0
korean.fashion.molinomobile,13,5,74,47,0,7,0,0,0,87,0,4,0,0,0
org.UniApp.UoR,13,33,41,1,2,5,8,0,0,64,2,5,0,0,0
com.amoedo.calculadora,13,9,75,1,2,8,1,1,0,3,1,11,1,0,0
com.Play2Learn.PhoneGap,13,11,78,2,1,7,4,0,0,1,2,5,1,0,0
com.ignite.adscal,13,33,41,50,2,5,8,0,0,64,2,5,0,0,0
com.dadadish.Matriwish,13,7,79,53,1,7,4,0,0,90,1,5,0,0,0
com.twist.android,13,10,55,1,15,8,3,1,0,94,1,14,1,0,0
com.tuliorocha,13,9,68,8,2,8,1,1,0,3,1,3,1,0,0
us.broadleaf.mobile.android.mt.play,13,8,75,58,2,8,1,1,0,94,1,11,1,0,0
kz.ps.app,13,9,75,4,2,8,1,1,0,94,1,10,1,0,0
com.iv.perfectchristianquotes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.pixeldolphingame.tapandfield,13,6,74,55,0,7,0,0,0,1,0,4,0,0,0
com.yoyo.lgc.android,13,8,75,4,2,8,1,1,0,94,1,11,1,0,0
br.com.rommel.point,13,33,41,50,2,5,8,0,0,64,2,5,0,5,0
ca.cultureplex.drglearning,13,6,74,11,1,7,2,0,0,5,0,4,0,0,0
sworkitapp.sworkit.com,13,6,74,1,1,7,0,0,0,98,0,10,0,0,0
au.edu.swsi.tafeswsi,13,7,75,8,2,7,7,0,0,1,0,2,1,0,0
br.com.tippz,13,16,75,2,2,2,1,1,0,94,1,5,1,0,0
com.sourcefuse.foodietogo,13,6,74,7,0,8,2,0,0,1,0,5,1,0,0
br.com.petrim.supercalculadora,13,9,75,1,2,8,1,1,0,1,1,11,1,0,0
com.audero.free.utility.currencyconverter,13,6,74,1,4,8,0,3,0,98,0,10,0,0,0
com.aitrich.roadrescue,13,6,74,57,0,7,0,0,0,98,0,10,0,0,0
com.telerik.RCI___HobbykingApp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.wooinvi.xoso,13,8,75,8,9,8,1,1,0,2,1,11,1,0,0
com.cittaininternet.spelloturismo,13,8,75,4,2,8,1,1,0,2,1,3,1,0,0
com.netscribe.BuildACareer,0,17,41,1,1,5,5,0,0,4,2,1,0,4,0
com.cywheel.IDoubtIt_en,13,6,74,1,1,7,0,0,0,2,0,4,0,0,0
com.sinaapp.SAEtt4s,16,29,30,1,2,5,1,0,0,2,2,13,2,0,0
com.myapartmentmap.MyApartmentMap,13,5,74,47,0,7,0,0,0,87,0,4,0,0,0
com.programmerworld.HRInterviewQuestionsLite,13,6,74,55,1,7,3,0,0,87,0,4,0,0,0
nl.nn.kijkoppensioen,12,7,48,34,8,13,1,1,0,88,1,11,1,0,0
com.feudfraudINT,13,5,74,47,0,7,0,0,0,87,0,4,0,0,0
com.close2u,13,8,75,58,2,8,1,1,0,94,1,11,1,0,0
com.Verbier,13,6,74,1,1,4,1,0,0,98,1,2,0,0,0
ch.creisi.cppairsfree,13,7,74,1,1,1,0,0,0,96,0,10,1,0,0
com.runemartin.bartebuss,13,33,41,1,2,5,2,0,0,64,2,5,2,0,0
de.krug.eartastic,13,9,75,63,2,8,1,1,0,94,1,11,1,0,0
com.DTWTech.WebCodeApp,13,6,74,57,2,7,0,1,0,98,0,10,1,0,0
com.ouadbanyoussef.ipastcontact,13,6,74,1,3,7,0,0,0,87,0,4,0,2,0
it.mobimentum.aragnozzles,13,9,75,1,1,8,1,1,0,3,1,11,1,0,0
iclicker.riccardofilippone,13,33,41,4,3,5,8,0,0,3,2,5,0,0,0
sa.edu.ksu.Ayat,13,6,74,1,0,8,0,0,0,3,0,10,0,0,0
com.mathopen.androidmath,13,33,41,52,2,5,8,0,0,17,2,5,0,0,0
com.softrole.bstales,13,9,75,7,2,8,1,1,0,94,1,11,1,0,0
com.beelinkapp.Beelink,12,0,25,15,2,4,0,0,0,32,0,6,4,0,0
