apk_name,navigator.getBattery,navigator.camera,device,navigator.notification,cordova.file,navigator.geolocation,cordova.InAppBrowser,Media,navigator.device.capture,navigator.connection,screen.orientation,navigator.splashscreen,StatusBar,navigator.vibrate
com.pr.ojectblue.dothis,0,6,7,2,0,8,0,1,2,0,0,0,0,0
com.indiageeks.apk,0,1,1,13,0,1,0,94,1,4,0,1,0,0
com.koimoi.android,0,1,4,2,0,1,0,94,1,2,0,1,0,0
com.activitylabs.bankbluffer,0,0,8,1,0,4,0,98,0,0,0,0,0,0
prayerguide.thegagne.com,0,4,7,3,0,8,0,1,2,0,0,0,0,0
com.cooperbussmann.faultcurrentcalculator,0,1,3,2,0,1,0,94,1,2,0,1,0,0
biz.raitco.fastdeals,0,1,1,2,0,1,0,3,1,1,0,1,0,0
com.drawroulette,0,0,2,1,0,1,0,87,0,0,0,0,0,0
com.axeuk.android.bump,0,6,52,2,0,8,0,1,2,0,0,0,0,0
com.peoplecall.nubefone,0,1,14,9,0,1,0,94,1,2,0,2,0,0
com.untappdllc.app,0,1,2,2,0,1,0,94,1,2,0,1,2,0
com.mkhuda.sangpenemu,0,0,16,1,0,0,0,1,0,0,0,0,0,0
com.tonnguyen.mega,0,0,1,0,0,0,0,88,0,1,0,0,0,0
com.onlinebrokerrev.android,0,6,1,2,0,8,0,64,2,0,0,0,0,0
org.berlin_vegan.bvapp,0,2,16,3,0,8,0,49,2,0,0,0,0,0
com.fsch.truthordare,0,1,8,2,0,1,0,1,1,2,0,1,0,0
org.meshtek.tictactoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nl.addnoise.wykelshallum,0,0,1,0,0,0,0,98,0,1,0,1,0,0
com.xplidev.detailedtaskmanager,0,0,0,0,0,0,0,0,0,0,0,0,0,0
simple.periodictable,0,0,1,0,0,0,0,95,0,0,0,0,0,0
com.marcucio.getitdone,0,0,104,2,0,0,0,34,0,1,0,0,0,0
be.tweedehands.m,0,0,57,0,0,0,0,98,0,1,0,0,0,0
at.sosme.app,0,5,1,2,0,8,0,56,2,0,0,0,0,0
com.mogl,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.tossapp3,0,1,8,3,0,1,0,2,1,1,0,1,0,0
com.solidapps.geoquiz,0,0,45,5,0,4,0,90,0,0,0,0,0,0
uk.co.creo.cookingforstudents,0,5,1,2,0,2,0,2,2,0,0,0,0,0
com.kiwixi.com,0,1,58,2,0,1,0,94,1,2,0,1,0,0
com.skgames.lpoints,0,2,21,2,0,3,0,16,0,0,0,0,0,0
de.tursics.nameyourbabe,0,1,7,2,0,1,0,94,1,2,0,1,0,0
uc.co.liveglutenfree,0,0,2,0,0,3,0,5,0,0,0,0,0,0
com.jmstechsys.culturalcorridor,0,3,5,1,0,1,0,94,1,2,0,2,0,0
net.clasificadosnet.android,0,0,1,1,0,0,0,87,0,0,0,0,0,0
com.giuseppesoft.giupcartelera,0,0,1,0,0,0,0,87,0,0,0,0,0,0
com.ppbg.Pcb,0,1,2,2,0,1,0,94,1,2,0,1,0,0
com.realitybridges.zombietag.challenge,0,0,1,2,0,1,0,1,0,1,0,0,0,0
DeliciousXiamen,0,6,96,0,0,2,0,14,0,0,0,0,0,0
com.tarun.hanumanchalisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.fracturedvisionmedia.absinthe,0,0,1,0,0,0,0,3,0,1,0,0,0,0
com.flyacts.typo3campberlin,0,0,57,2,0,0,0,98,0,1,0,2,0,0
de.trinimon.calculator,0,4,1,2,0,8,0,52,2,0,0,0,0,0
com.twidaq.pglite,0,0,4,1,0,0,0,87,0,0,0,0,0,0
com.urucas.tmusica,0,1,2,2,0,1,0,7,1,2,0,1,2,0
com.powertools.clicker,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ru.wyeg.instatag,0,1,20,2,0,1,0,94,1,2,0,1,0,0
com.priceitgame,0,1,8,2,0,4,0,98,0,1,0,1,0,0
nl.x_services.buildmeister,0,1,1,1,0,1,0,94,1,2,0,1,0,0
com.schuitemaker.k1ckstart3r,0,1,14,1,0,1,0,94,1,2,0,1,0,0
fm.superplayer.jukebot,0,1,63,2,0,1,0,94,1,2,0,1,2,0
com.elvito.radio.waves,0,0,59,0,0,0,0,87,0,0,0,0,0,0
com.viteb.UniversalCounters,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.jmstech.mychildswords,0,1,8,2,0,1,0,2,1,1,0,1,0,0
com.oppositecoast.www.mwm,0,1,6,4,0,1,0,94,1,1,0,1,0,0
my.boletus.demo,0,1,8,4,0,4,0,5,1,2,0,1,0,0
com.ohmztech.classaction,0,1,8,2,0,1,0,94,1,2,0,1,0,0
com.SlateStudio.HelloHarto,0,1,1,6,0,1,0,10,1,1,0,1,0,0
com.phoneprojects.angrychicks,0,1,58,2,0,1,0,94,1,2,0,1,0,0
com.dasque,0,1,8,2,0,1,0,3,1,2,0,1,0,0
com.testsstore.app,0,2,1,4,0,8,0,59,2,0,0,0,0,0
com.takeweather,0,13,14,3,0,1,0,2,0,1,0,0,0,0
dan.seekr,0,1,8,1,0,1,0,94,1,2,0,1,0,0
air.com.KickstandTech.MotorcycleWeather,0,1,2,2,0,2,0,94,1,2,0,1,0,0
com.openargs,0,6,50,2,0,8,0,64,2,0,0,0,5,0
com.phonegap.intown,0,6,52,2,0,8,0,63,2,0,0,0,0,0
com.mkhuda.ilmuaislam,0,0,16,1,0,1,0,1,0,0,0,0,0,0
com.onlinerepublic.AirportCarRental,0,1,1,2,0,1,0,84,1,2,0,1,0,0
org.techdoc,0,6,1,2,0,3,0,5,2,0,0,0,0,0
de.jameda.android.arztsuche,0,1,58,2,0,2,0,97,1,2,0,1,0,0
de.rsp24.schloebe,0,0,55,0,0,0,0,87,0,0,0,0,0,0
com.nutreek.bbroy,0,0,57,0,0,0,0,96,0,1,0,0,0,0
