apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration,config.xml,plugins.xml
com.pr.ojectblue.dothis,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.indiageeks.apk,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.koimoi.android,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0
com.activitylabs.bankbluffer,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
prayerguide.thegagne.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.cooperbussmann.faultcurrentcalculator,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
biz.raitco.fastdeals,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.drawroulette,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.axeuk.android.bump,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.peoplecall.nubefone,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.untappdllc.app,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0
com.mkhuda.sangpenemu,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.tonnguyen.mega,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0
com.onlinebrokerrev.android,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
org.berlin_vegan.bvapp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.fsch.truthordare,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
org.meshtek.tictactoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nl.addnoise.wykelshallum,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
simple.periodictable,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.marcucio.getitdone,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
be.tweedehands.m,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
at.sosme.app,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.tossapp3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.solidapps.geoquiz,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
uk.co.creo.cookingforstudents,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.kiwixi.com,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.skgames.lpoints,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
de.tursics.nameyourbabe,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
uc.co.liveglutenfree,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.jmstechsys.culturalcorridor,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
net.clasificadosnet.android,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.giuseppesoft.giupcartelera,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.ppbg.Pcb,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.realitybridges.zombietag.challenge,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
DeliciousXiamen,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.tarun.hanumanchalisa,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
com.fracturedvisionmedia.absinthe,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.flyacts.typo3campberlin,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0
de.trinimon.calculator,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.twidaq.pglite,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
com.urucas.tmusica,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
ru.wyeg.instatag,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.priceitgame,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
nl.x_services.buildmeister,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.schuitemaker.k1ckstart3r,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
fm.superplayer.jukebot,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.elvito.radio.waves,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.jmstech.mychildswords,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.oppositecoast.www.mwm,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
my.boletus.demo,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.ohmztech.classaction,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.SlateStudio.HelloHarto,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.phoneprojects.angrychicks,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
com.dasque,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.testsstore.app,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
com.takeweather,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
dan.seekr,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
air.com.KickstandTech.MotorcycleWeather,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.openargs,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.phonegap.intown,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.mkhuda.ilmuaislam,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1
com.onlinerepublic.AirportCarRental,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
org.techdoc,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
de.jameda.android.arztsuche,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
de.rsp24.schloebe,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0
com.nutreek.bbroy,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
no.android.learnerspracticetest,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
artiic.euroTweets2012,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.sofar.mesgouts,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
russh.toddler.carsabcnumbers,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
com.iChemLabs.ChemDoodleMobile,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
de.kashban.android.kakerlake,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1
com.greenbuildingapp.gba,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0
net.klier.blutdruck,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.critalsoft.eazywallet,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
org.dinamisglobe.mobileapp,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
com.phonegap.mobmarket,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.phonegap.clearpoint,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.mobileteck.lovevoucher,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.infocus.vionnow,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
korean.fashion.molinomobile,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
org.meshtek.top20sportscars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.UniApp.UoR,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.amoedo.calculadora,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.Play2Learn.PhoneGap,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1
com.ignite.adscal,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
com.dadadish.Matriwish,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
com.twist.android,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0
com.tuliorocha,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
us.broadleaf.mobile.android.mt.play,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
kz.ps.app,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.iv.perfectchristianquotes,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.pixeldolphingame.tapandfield,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1
com.yoyo.lgc.android,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
br.com.rommel.point,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1
ca.cultureplex.drglearning,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0
sworkitapp.sworkit.com,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1
au.edu.swsi.tafeswsi,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
org.meshtek.quotetime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
br.com.tippz,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
com.sourcefuse.foodietogo,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
br.com.petrim.supercalculadora,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
com.audero.free.utility.currencyconverter,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
