apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
10,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
100,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
101,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
102,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
103,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
104,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
105,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
106,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
107,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
108,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
109,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
11,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
110,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
111,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
113,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
114,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
115,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
12,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
13,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
14,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
15,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0
16,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
17,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
18,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
19,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
2,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
20,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
21,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
23,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
24,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
27,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
28,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
3,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
30,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
33,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
34,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
35,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
36,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
37,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
38,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0
39,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0
4,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
40,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
41,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
42,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
43,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
44,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
45,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
46,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
47,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
48,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
49,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
5,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0
50,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0
