apk_name,battery-status,camera,contacts,device,dialogs,file,geolocation,globalization,inappbrowser,media,media-capture,network-information,splashscreen,statusbar,vibration
com.pr.ojectblue.dothis,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.indiageeks.apk,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.koimoi.android,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.activitylabs.bankbluffer,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
prayerguide.thegagne.com,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.cooperbussmann.faultcurrentcalculator,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
biz.raitco.fastdeals,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.drawroulette,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
com.axeuk.android.bump,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
com.peoplecall.nubefone,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
com.untappdllc.app,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.mkhuda.sangpenemu,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.tonnguyen.mega,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.onlinebrokerrev.android,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
org.berlin_vegan.bvapp,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0
com.fsch.truthordare,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
org.meshtek.tictactoe,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
nl.addnoise.wykelshallum,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
simple.periodictable,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.marcucio.getitdone,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
be.tweedehands.m,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
at.sosme.app,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.tossapp3,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
com.solidapps.geoquiz,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
uk.co.creo.cookingforstudents,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.kiwixi.com,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1
com.skgames.lpoints,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
de.tursics.nameyourbabe,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
uc.co.liveglutenfree,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
com.jmstechsys.culturalcorridor,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
net.clasificadosnet.android,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.giuseppesoft.giupcartelera,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
com.ppbg.Pcb,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
com.realitybridges.zombietag.challenge,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
DeliciousXiamen,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
com.tarun.hanumanchalisa,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.fracturedvisionmedia.absinthe,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.flyacts.typo3campberlin,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1
de.trinimon.calculator,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
com.twidaq.pglite,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.urucas.tmusica,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
ru.wyeg.instatag,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.priceitgame,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
nl.x_services.buildmeister,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.schuitemaker.k1ckstart3r,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
fm.superplayer.jukebot,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.elvito.radio.waves,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
com.jmstech.mychildswords,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.oppositecoast.www.mwm,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
my.boletus.demo,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
com.ohmztech.classaction,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.SlateStudio.HelloHarto,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0
com.phoneprojects.angrychicks,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1
com.dasque,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.testsstore.app,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0
com.takeweather,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
dan.seekr,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
air.com.KickstandTech.MotorcycleWeather,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
com.openargs,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
com.phonegap.intown,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
com.mkhuda.ilmuaislam,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.onlinerepublic.AirportCarRental,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
org.techdoc,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
de.jameda.android.arztsuche,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0
de.rsp24.schloebe,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0
com.nutreek.bbroy,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
no.android.learnerspracticetest,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0
artiic.euroTweets2012,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1
